"Question","Choice 1","Choice 2","Choice 3","Choice 4","Correct Answer (1-4)","Explanation","Difficulty","Subject","Chapter","Topic"
"Which statement best reflects the life-span perspective in developmental psychology?","Development ends when biological maturity is reached.","Development consists only of age-related gains.","Development is lifelong, multidimensional, and influenced by context.","Development is determined mainly by heredity.","3","The life-span perspective views development as a lifelong process involving gains and losses across multiple domains and shaped by biological, psychological, social, historical, and cultural contexts.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"A developmental psychologist studies how poverty, family structure, school setting, and culture jointly affect a child's adjustment. Which feature of development is most clearly emphasized?","Single-cause explanation","Contextual influence","Biological determinism","Fixed maturation","2","The question emphasizes interacting environmental systems such as poverty, family, school, and culture, which reflects contextual influences on development.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which situation is the best example of a normative history-graded influence?","A child's severe hearing loss at birth","A family's move to another city","A generation experiencing a global pandemic during adolescence","A teenager's first romantic breakup","3","A normative history-graded influence is a large-scale event affecting many people of a generation at a particular historical time.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"A researcher wants to examine age-related differences in memory by comparing 8-year-olds, 16-year-olds, and 24-year-olds at one point in time. Which design is being used?","Longitudinal","Cross-sectional","Sequential","Experimental","2","Cross-sectional research compares people of different ages at the same time.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which statement best distinguishes a theory from a hypothesis?","A theory is narrower and less evidence-based than a hypothesis.","A hypothesis organizes a broad body of findings into a framework.","A theory provides an overarching explanation; a hypothesis is a testable prediction.","A theory is descriptive only, whereas a hypothesis is explanatory only.","3","A theory organizes findings into a broad explanatory framework, while a hypothesis is a specific proposition that can be tested empirically.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which theorist is most closely associated with the psychosocial stages of development across the life span?","Jean Piaget","Erik Erikson","B. F. Skinner","Lev Vygotsky","2","Erikson proposed psychosocial stages extending across the whole life span.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"A child first calls every four-legged animal ""dog,"" then gradually learns to distinguish dogs from cats and goats. This illustrates:","object permanence","overextension","conservation","centration","2","Overextension occurs when a child applies one word too broadly, such as calling all four-legged animals ""dog.""","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which research method is most appropriate for obtaining rich, in-depth information about one rare developmental condition?","Survey","Case study","Cross-sectional design","Correlational meta-analysis","2","Case studies provide detailed information about a rare condition or unusual developmental pattern.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which statement best captures the developmental issue of nature and nurture?","Only genetic factors matter in development.","Only environmental factors matter in development.","Development results from the interaction of heredity and environment.","Nature matters only before birth, nurture only after birth.","3","Modern developmental psychology rejects an either-or view and emphasizes interaction between genes and experience.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which is the strongest example of a sensitive period?","A period after which learning is biologically impossible","A time when a person is especially responsive to certain experiences","A time when maturation stops temporarily","A stage in which all children behave identically","2","A sensitive period is a time of heightened receptivity to environmental influences, though learning may still occur later.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which event occurs first in prenatal development?","Implantation","Formation of the zygote","Fetal movement","Differentiation of body systems","2","Prenatal development begins at fertilization, when sperm and ovum unite to form a zygote.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"A pregnant woman consumes alcohol heavily throughout pregnancy. Which outcome is most strongly associated with this exposure?","Superior motor development","Increased attachment security","Fetal alcohol-related developmental impairment","Advanced language development","3","Heavy prenatal alcohol exposure is strongly linked to fetal alcohol spectrum disorders and multiple developmental impairments.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Genetic counseling is most directly useful for:","increasing intelligence through training","determining parenting style","estimating the probability of inherited disorders","eliminating all environmental risks","3","Genetic counseling helps prospective parents understand inherited risk and make informed decisions.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which statement about heredity is most accurate?","Heritability refers to the extent to which a trait is caused only by genes in one person.","Heritability estimates describe variation within a population, not destiny for an individual.","Highly heritable traits cannot be modified by experience.","Polygenic traits are controlled by a single dominant gene.","2","Heritability is a population statistic and does not determine an individual's outcome.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
