Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
Which statement best reflects the life-span perspective in developmental psychology?,Development ends once biological maturity is reached.,Development consists only of age-related gains.,Development involves both change and stability from conception to death.,Development is determined primarily by heredity.,3,Life-span developmental psychology views development as a lifelong process involving both continuity and change across all periods of life.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
"A developmental psychologist wants to compare the vocabulary of 4-year-olds, 8-year-olds, and 12-year-olds at one point in time. Which design is most appropriate?",Longitudinal design,Cross-sectional design,Sequential design,Case study design,2,"A cross-sectional design compares groups of different ages at the same time, making it appropriate for vocabulary comparisons across age groups.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which theorist emphasized the psychosocial crisis of trust versus mistrust during infancy?,Jean Piaget,Erik Erikson,B. F. Skinner,Lawrence Kohlberg,2,"Erikson proposed psychosocial stages, and trust versus mistrust is the major crisis of infancy in his theory.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
A child solves a difficult puzzle successfully only when guided by an older sibling. This best illustrates:,object permanence,conservation,zone of proximal development,operant conditioning,3,"The zone of proximal development refers to tasks a child can do with assistance but not yet independently, highlighting guided learning.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which concept refers to influences that affect many people of a particular generation?,Nonnormative influence,Normative history-graded influence,Sensitive period,Phenotype,2,"Normative history-graded influences are common experiences shared by a generation, such as war, recession, or pandemic.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which statement best distinguishes maturation from learning?,Maturation refers to change due to instruction.,Maturation refers to genetically programmed sequences of development.,Learning refers only to school-based acquisition.,Learning occurs independently of experience.,2,Maturation involves biologically guided growth processes that unfold in a relatively orderly sequence.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
A fertilized ovum divides and forms a blastocyst before implantation. This process occurs during:,infancy,embryonic development,the germinal period,the fetal period,3,The germinal period begins at fertilization and includes early cell division and implantation.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which prenatal period is characterized by the formation of major organs and body systems?,Germinal period,Embryonic period,Fetal period,Neonatal period,2,"Major organ formation occurs during the embryonic period, making this stage highly sensitive to teratogens.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
A counselor explains to prospective parents that they already have one child with a chromosomal disorder and want to know the probability of recurrence in future pregnancies. The most appropriate referral is for:,behavior modification,genetic counseling,occupational therapy,speech intervention,2,"Genetic counseling helps families understand inherited risks, recurrence probabilities, and options related to genetic conditions.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which maternal behavior poses a major teratogenic risk during pregnancy?,Reading aloud daily,Moderate hydration,Heavy alcohol use,Routine prenatal consultation,3,"Heavy alcohol use is a major prenatal risk and can produce serious teratogenic effects, including fetal alcohol spectrum problems.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
