"Question","Choice 1","Choice 2","Choice 3","Choice 4","Correct Answer (1-4)","Explanation","Difficulty","Subject","Chapter","Topic"
"Which statement best reflects the life-span perspective in development?","Development ends once biological maturity is reached.","Development is limited to childhood because growth is most visible then.","Development involves lifelong patterns of change and stability.","Development is determined almost entirely by heredity.","3","Development is viewed as a continuous process from conception to death, involving both gains and losses across all stages.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"A developmental psychologist studying how poverty, parenting, and school quality interact in shaping cognition is most directly examining:","a single maturation timetable","interrelated contextual influences","only hereditary transmission","reflexive behavior","2","Development is influenced by multiple interacting environmental systems rather than a single isolated factor.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which is the best example of a normative age-graded influence?","Experiencing a major earthquake","Beginning menopause in midlife","Being born during a pandemic","Losing a parent at age 8","2","Normative age-graded influences are biological or environmental events that occur at a typical time in life.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which statement best captures the difference between a critical period and a sensitive period?","A critical period is longer than a sensitive period.","A critical period requires social learning; a sensitive period does not.","A critical period is a narrowly defined time when an event must occur, whereas a sensitive period is a time of heightened responsiveness.","A critical period applies only to language and a sensitive period applies only to attachment.","3","Critical periods require specific experiences at a precise time, while sensitive periods allow more flexibility but optimal learning occurs within them.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"A theorist who emphasizes unconscious motivation and early experience would most likely belong to which perspective?","Psychoanalytic","Information-processing","Behaviorist","Contextual","1","Psychoanalytic theory focuses on unconscious processes and early childhood experiences as determinants of behavior.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"The concept of the zone of proximal development is most closely associated with:","Piaget","Erikson","Vygotsky","Bandura","3","Vygotsky proposed that learning occurs through guided support within a child's zone of proximal development.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"In developmental research, a major advantage of longitudinal designs is that they:","avoid attrition completely","can directly show individual patterns of change over time","are always faster than cross-sectional studies","eliminate cohort effects entirely","2","Longitudinal studies track the same individuals, allowing observation of developmental changes within the same participants.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"A researcher compares 8-year-olds, 18-year-olds, and 68-year-olds at one point in time. This is a:","longitudinal design","sequential design","cross-sectional design","microgenetic design","3","Cross-sectional research compares different age groups at a single point in time.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which research method is most appropriate when the goal is to understand how participants make sense of bereavement in their own words?","Qualitative interview","Randomized controlled trial","Twin study","Standardized intelligence test","1","Qualitative interviews capture subjective meanings and personal experiences such as grief.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which ethical principle is most central when a researcher ensures that participants fully understand risks before joining a study?","Debriefing","Standardization","Informed consent","Random assignment","3","Informed consent ensures participants understand procedures, risks, and their rights before participation. (Continuing in same format...)","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which pair correctly distinguishes genotype from phenotype?","Genotype is observable traits; phenotype is genetic makeup.","Genotype is inherited potential; phenotype is its observable expression.","Genotype is environmental influence; phenotype is biological inheritance.","Genotype is dominant traits only; phenotype is recessive traits only.","2","Genotype refers to genetic makeup, while phenotype is the observable result influenced by environment.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"When both parents are carriers for an autosomal recessive disorder, the child will express the disorder only if the child:","inherits one recessive allele","inherits two dominant alleles","inherits two recessive alleles","is male","3","Autosomal recessive conditions require two copies of the recessive gene to be expressed.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Down syndrome is most commonly associated with:","trisomy 21","a recessive sex-linked gene","a dominant autosomal mutation","genomic imprinting only","1","Down syndrome results from an extra chromosome 21.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which statement best illustrates canalization?","A trait is unaffected by genes.","Development follows a strongly programmed path unless environmental forces are extreme.","Children inherit all emotional tendencies directly from one parent.","Prenatal growth proceeds randomly.","2","Canalization refers to traits that develop predictably unless disrupted by strong environmental factors.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
