Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
Which statement best reflects the life-span perspective in developmental psychology?,Development ends when biological maturity is reached.,Development consists only of age-related gains.,"Development is lifelong, multidimensional, multidirectional, and plastic.",Development is determined almost entirely by heredity.,3,"The life-span perspective holds that development continues throughout the entire life course and involves multiple dimensions, directions of change, and capacity for modification.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"A developmental psychologist studies how poverty, schooling, and family relationships interact with brain maturation in shaping children's school performance. This approach is best described as:",reductionistic,interdisciplinary,psychodynamic,nativistic,2,"This approach integrates biological, cognitive, and contextual influences, which is the hallmark of interdisciplinary developmental study.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Which is the best example of a normative history-graded influence?,A child's temperament,Puberty at age 12,Exposure to a major pandemic during adolescence,Losing a parent in middle childhood,3,A normative history-graded influence is an event shared by many people in a generation because of a particular historical period.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"Which research design is most appropriate if a psychologist wants to compare age differences in memory among 20-, 40-, and 60-year-olds at one point in time?",longitudinal,cross-sectional,sequential-cohort,ethnographic,2,Cross-sectional research compares different age groups at the same point in time.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"A researcher finds that children who attend high-quality preschool later perform better in reading. Before concluding that preschool caused the better reading outcomes, the researcher must most directly address:",attrition,cohort effects,confounding variables,observer bias only,3,"To infer causation, the researcher must rule out alternative influences such as family background, parental involvement, or prior ability.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"In Piaget's theory, development is advanced when children modify existing cognitive schemes to fit new information. This process is called:",assimilation,accommodation,equilibration,habituation,2,Accommodation occurs when a person changes an existing mental structure to incorporate new experience.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
A fertilized ovum divides repeatedly and travels down the fallopian tube before implantation. This period is the:,fetal period,embryonic period,germinal period,neonatal period,3,The germinal period begins at fertilization and includes early cell division and implantation.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"A genetic counselor explains that a disorder appears only when a child inherits two recessive alleles, one from each parent. This pattern is:",sex-linked dominant,autosomal recessive,multifactorial,chromosomal nondisjunction,2,Autosomal recessive disorders are expressed only when both alleles for the trait are recessive.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Which maternal condition poses the greatest risk for fetal alcohol spectrum disorders?,mild morning sickness,iron supplementation,persistent alcohol use during pregnancy,moderate prenatal exercise,3,Alcohol is a teratogen that can disrupt fetal development and produce fetal alcohol spectrum disorders.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Which statement best reflects the modern view of heredity and environment?,Heredity fixes development and environment has little effect.,Environment determines development unless a severe mutation is present.,Heredity and environment interact continuously across development.,"Heredity influences only physical traits, not behavior.",3,Contemporary developmental psychology emphasizes ongoing interaction between genetic predispositions and environmental conditions.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
