"Question","Choice 1","Choice 2","Choice 3","Choice 4","Correct Answer (1-4)","Explanation","Difficulty","Subject","Chapter","Topic"
"Which statement best reflects the life-span perspective in developmental psychology?","Development ends when biological maturity is reached.","Development consists only of gains during childhood and losses during old age.","Development is lifelong, multidimensional, and shaped by interacting influences.","Development is determined mainly by heredity and is minimally affected by context.","3","This reflects the life-span perspective because development continues from conception to death and is shaped by interacting biological, psychological, social, and contextual influences.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"A developmental psychologist wants to study how poverty, culture, and family structure jointly influence learning outcomes. Which perspective is most directly emphasized?","Contextual perspective","Psychoanalytic perspective","Strict behaviorist perspective","Trait perspective","1","The contextual perspective emphasizes that development must be understood within social, cultural, family, and environmental systems that interact to shape outcomes.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which of the following is the best example of a normative history-graded influence?","A child develops asthma because of a genetic vulnerability","A teenager experiences parental divorce","A cohort's schooling is disrupted by a pandemic","A woman enters menopause at midlife","3","A normative history-graded influence affects many people in a generation at the same historical time, such as a pandemic disrupting schooling.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"In developmental research, a study that follows the same individuals from age 5 to age 25 uses which design?","Cross-sectional","Longitudinal","Correlational","Experimental simulation","2","A longitudinal design follows the same participants over an extended period to examine developmental change over time.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"A major strength of experimental research is that it:","guarantees generalizability to all settings","allows causal inference when properly controlled","eliminates all ethical concerns","avoids participant attrition","2","Experimental research permits stronger conclusions about cause and effect because variables can be systematically manipulated and controlled.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which pairing is correctly matched?","Piaget -- psychosocial stages","Erikson -- psychosexual stages","Vygotsky -- sociocultural learning","Bandura -- operant conditioning only","3","Vygotsky is correctly matched with sociocultural learning because he emphasized cognitive development through social interaction and guided participation.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"A child can solve a problem only when a teacher provides hints, prompts, and step-by-step support. Vygotsky would describe this as learning within the:","latent trait structure","zone of proximal development","concrete operations lag","reciprocal inhibition zone","2","The zone of proximal development refers to tasks a learner cannot yet do independently but can accomplish with guidance and support.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which concept is most closely associated with Bronfenbrenner?","Object permanence","Bioecological systems","Classical conditioning","Identity foreclosure","2","Bronfenbrenner is associated with the bioecological systems view, which explains development through interacting environmental systems.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"A researcher argues that development proceeds through a series of qualitatively distinct stages. This position addresses which basic issue?","Nature versus nurture","Continuity versus discontinuity","Reliability versus validity","Sex versus gender","2","A stage-based view assumes discontinuity because development is seen as occurring through distinct qualitative shifts.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which statement about heredity and environment is most accurate?","Heredity determines genotype, whereas environment determines phenotype with no overlap.","Heredity and environment usually operate independently.","Development reflects ongoing interaction between biological endowment and experience.","Environment matters only when heredity is weak.","3","Development is best understood as the product of continual interaction between inherited potential and environmental experience.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"During prenatal development, the period of most rapid differentiation of major organs occurs in the:","germinal stage","embryonic stage","fetal stage","neonatal stage","2","The embryonic stage is the period of organ formation and the time when major body structures rapidly differentiate.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which maternal factor is most strongly associated with fetal alcohol spectrum disorder?","High caffeine intake","Exposure to loud sounds","Alcohol use during pregnancy","Mild maternal exercise","3","Fetal alcohol spectrum disorder results from prenatal exposure to alcohol during pregnancy.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"A baby is born weighing far below expected standards and is at elevated risk for developmental complications. This infant is best described as:","postmature","low birth weight","cephalocaudal delayed","proximodistal immature","2","Low birth weight infants face increased risk for medical and developmental complications.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which principle of physical growth states that development proceeds from the head downward?","Proximodistal","Cephalocaudal","Epigenetic","Hierarchical","2","Cephalocaudal development refers to growth and control progressing from the head downward toward the lower parts of the body.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"The rooting, sucking, and Moro responses in newborns are best classified as:","conditioned habits","learned motor schemes","reflexes","temperament styles","3","These are innate, automatic responses present at birth that help survival and indicate neurological functioning.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
