Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
Which statement best reflects the life-span perspective in developmental psychology?,Development ends in late adolescence because personality is already fixed,Development involves only growth and not decline,"Development is lifelong, multidimensional, and shaped by interacting influences",Development is determined mainly by heredity alone,3,"The life-span perspective holds that development continues from conception to death and is shaped by multiple interacting biological, cognitive, social, and contextual influences.",Medium,Developmental Psychology,Chapter 7,Chapter 7 Set 7
Which pair correctly represents two major domains of development?,Reflexive and nonreflexive,Physical and psychosocial,Sensorimotor and operational,Conscious and unconscious,2,"Development is commonly divided into major domains, including physical, cognitive, and psychosocial development.",Medium,Developmental Psychology,Chapter 7,Chapter 7 Set 7
A child born during a nationwide economic recession experiences long-term educational disadvantage because of reduced family income. This is best classified as:,Normative age-graded influence,Normative history-graded influence,Nonnormative influence,Genotype-environment covariance,2,"A nationwide economic recession affects many individuals in a particular historical period, making it a normative history-graded influence.",Medium,Developmental Psychology,Chapter 7,Chapter 7 Set 7
A developmental psychologist is primarily interested in:,Diagnosing only mental disorders,Studying change and stability across the life span,Measuring intelligence only in school-age children,Conducting therapy for all age groups,2,Developmental psychology focuses on the scientific study of patterns of change and stability throughout the entire life span.,Medium,Developmental Psychology,Chapter 7,Chapter 7 Set 7
Which question reflects the issue of continuity versus discontinuity?,Is behavior shaped more by rewards or punishment?,Does development occur gradually or in distinct stages?,Is intelligence inherited or learned?,Does aging affect memory more than language?,2,The continuity versus discontinuity issue asks whether development unfolds gradually or through distinct qualitative stages.,Medium,Developmental Psychology,Chapter 7,Chapter 7 Set 7
Freud's theory is most closely associated with the view that:,learning occurs mainly by observation,development is driven by unconscious motives and early experiences,cognition develops through social speech alone,behavior is fully explained by reinforcement schedules,2,Freud emphasized unconscious drives and early life experiences as central forces in personality development.,Medium,Developmental Psychology,Chapter 7,Chapter 7 Set 7
Erikson differed from Freud mainly by emphasizing:,psychosexual stages over the entire life span,psychosocial challenges across the life span,classical conditioning in personality growth,moral reasoning in adolescence only,2,Erikson broadened developmental theory by focusing on psychosocial crises that continue across the entire life span.,Medium,Developmental Psychology,Chapter 7,Chapter 7 Set 7
Piaget described children as:,passive recipients of environmental input,active constructors of knowledge,driven mainly by unconscious conflicts,shaped only by cultural tools,2,Piaget viewed children as active learners who build understanding through interaction with their environment.,Medium,Developmental Psychology,Chapter 7,Chapter 7 Set 7
Vygotsky emphasized that cognitive growth is strongly influenced by:,maturation of the id,reinforcement contingencies alone,social interaction and culture,inherited intelligence only,3,"Vygotsky stressed that cognitive development is shaped by social interaction, language, and cultural context.",Medium,Developmental Psychology,Chapter 7,Chapter 7 Set 7
"In Bronfenbrenner's ecological theory, the child's immediate setting is the:",chronosystem,exosystem,mesosystem,microsystem,4,"The microsystem refers to the child's direct, immediate environment, such as family, school, and peers.",Medium,Developmental Psychology,Chapter 7,Chapter 7 Set 7
A researcher who follows the same group of children from age 5 to age 15 is using a:,cross-sectional design,longitudinal design,correlational design,case-study design,2,A longitudinal design studies the same individuals over time to examine developmental change.,Medium,Developmental Psychology,Chapter 7,Chapter 7 Set 7
Which is the strongest advantage of an experiment?,It always reflects real-life conditions,It can establish cause-and-effect relationships better than most other designs,It avoids all ethical issues,It eliminates the need for sampling,2,"Experiments allow manipulation and control of variables, making them especially useful for identifying causal relationships.",Medium,Developmental Psychology,Chapter 7,Chapter 7 Set 7
Which practice best protects research participants ethically?,Withholding all information about the study from all participants,Using deception whenever it makes data collection easier,Obtaining informed consent and minimizing foreseeable harm,Publishing raw identifying data for replication,3,Ethical research requires respecting participant autonomy through informed consent and protecting them from unnecessary harm.,Medium,Developmental Psychology,Chapter 7,Chapter 7 Set 7
Fertilization normally occurs in the:,uterus,cervix,fallopian tube,placenta,3,Fertilization typically takes place in the fallopian tube before the zygote travels to the uterus for implantation.,Medium,Developmental Psychology,Chapter 7,Chapter 7 Set 7
